date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:04	18689/18689	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202023%2010:46:03%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/index.html	(from )
10:46:05	30315/30315	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202023%2010:46:04%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
10:46:06	14982/14982	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2010:46:05%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/09	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/09.1.delayed	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
10:46:06	18196/18196	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202023%2010:46:06%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/10	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/10.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
10:46:07	14982/14982	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2010:46:07%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/11	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/11	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
10:46:08	14982/14982	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2010:46:08%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/12	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/12	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
10:46:10	30320/30320	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202023%2010:46:09%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/13	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/13.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
10:46:11	17746/17746	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202023%2010:46:10%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/14	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/14.html	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
10:46:11	14982/14982	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2010:46:11%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/15	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/15	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
10:46:12	14982/14982	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2010:46:12%20GMT	https://w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/16	class_quota/w5.ab.ust.hk/wcq/cgi-bin/2320/common_core/4Y/16	(from https://w5.ab.ust.hk/wcq/cgi-bin/2320/)
